AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
10-14|2.1|3.5|2.7|57|X(a) Intracranial & intraspinal germ cell tumors|21033138|2006
15-19|1.7|3.0|2.2|49|X(a) Intracranial & intraspinal germ cell tumors|21807709|2006
5-9|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|19544688|2006
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|4041738|2006
1-4|1.3|2.7|1.9|30|X(b) Malignant extracranial & extragonadal germ cell tumors|15897145|2006
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|21033138|2006
15-19|1.1|2.2|1.6|34|X(b) Malignant extracranial & extragonadal germ cell tumors|21807709|2006
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19544688|2006
<1|10.3|17.7|13.6|55|X(b) Malignant extracranial & extragonadal germ cell tumors|4041738|2006
1-4|0.6|1.7|1.1|17|X(c) Malignant gonadal germ cell tumors|15897145|2006
10-14|2.7|4.4|3.5|73|X(c) Malignant gonadal germ cell tumors|21033138|2006
15-19|17.4|21.1|19.2|419|X(c) Malignant gonadal germ cell tumors|21807709|2006
5-9|0.7|1.7|1.1|22|X(c) Malignant gonadal germ cell tumors|19544688|2006
<1|~|~|~|~|X(c) Malignant gonadal germ cell tumors|4041738|2006
1-4|~|~|~|~|X(d) Gonadal carcinomas|15897145|2006
10-14|~|~|~|~|X(d) Gonadal carcinomas|21033138|2006
15-19|1.1|2.2|1.6|34|X(d) Gonadal carcinomas|21807709|2006
5-9|~|~|~|~|X(d) Gonadal carcinomas|19544688|2006
<1|~|~|~|~|X(d) Gonadal carcinomas|4041738|2006
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|15897145|2006
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|21033138|2006
15-19|0.6|1.5|1.0|21|X(e) Other and unspecified malignant gonadal tumors|21807709|2006
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19544688|2006
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|4041738|2006
1-4|1.3|2.7|1.9|30|XI Other malignant epithelial neoplasms and malignant melanomas|15897145|2006
10-14|13.7|17.1|15.4|323|XI Other malignant epithelial neoplasms and malignant melanomas|21033138|2006
15-19|43.5|49.3|46.4|1011|XI Other malignant epithelial neoplasms and malignant melanomas|21807709|2006
5-9|3.7|5.7|4.6|90|XI Other malignant epithelial neoplasms and malignant melanomas|19544688|2006
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|4041738|2006
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|15897145|2006
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|21033138|2006
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|21807709|2006
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|19544688|2006
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|4041738|2006
1-4|~|~|~|~|XI(b) Thyroid carcinomas|15897145|2006
10-14|5.0|7.2|6.0|127|XI(b) Thyroid carcinomas|21033138|2006
15-19|17.0|20.7|18.8|410|XI(b) Thyroid carcinomas|21807709|2006
5-9|1.0|2.2|1.5|30|XI(b) Thyroid carcinomas|19544688|2006
<1|~|~|~|~|XI(b) Thyroid carcinomas|4041738|2006
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|15897145|2006
10-14|0.4|1.2|0.8|16|XI(c) Nasopharyngeal carcinomas|21033138|2006
15-19|1.2|2.3|1.7|36|XI(c) Nasopharyngeal carcinomas|21807709|2006
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|19544688|2006
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|4041738|2006
1-4|~|~|~|~|XI(d) Malignant melanomas|15897145|2006
10-14|3.7|5.6|4.6|96|XI(d) Malignant melanomas|21033138|2006
15-19|12.8|16.1|14.4|314|XI(d) Malignant melanomas|21807709|2006
5-9|1.1|2.3|1.6|31|XI(d) Malignant melanomas|19544688|2006
<1|~|~|~|~|XI(d) Malignant melanomas|4041738|2006
1-4|~|~|~|~|XI(e) Skin carcinomas|15897145|2006
10-14|~|~|~|~|XI(e) Skin carcinomas|21033138|2006
15-19|~|~|~|~|XI(e) Skin carcinomas|21807709|2006
5-9|~|~|~|~|XI(e) Skin carcinomas|19544688|2006
<1|~|~|~|~|XI(e) Skin carcinomas|4041738|2006
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|15897145|2006
10-14|3.0|4.7|3.8|79|XI(f) Other and unspecified carcinomas|21033138|2006
15-19|10.0|12.8|11.3|247|XI(f) Other and unspecified carcinomas|21807709|2006
5-9|0.8|1.9|1.3|25|XI(f) Other and unspecified carcinomas|19544688|2006
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|4041738|2006
1-4|0.6|1.6|1.0|16|XII Other and unspecified malignant neoplasms|15897145|2006
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|21033138|2006
15-19|0.9|1.9|1.3|28|XII Other and unspecified malignant neoplasms|21807709|2006
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|19544688|2006
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|4041738|2006
1-4|~|~|~|~|XII(a) Other specified malignant tumors|15897145|2006
10-14|~|~|~|~|XII(a) Other specified malignant tumors|21033138|2006
15-19|~|~|~|~|XII(a) Other specified malignant tumors|21807709|2006
5-9|~|~|~|~|XII(a) Other specified malignant tumors|19544688|2006
<1|~|~|~|~|XII(a) Other specified malignant tumors|4041738|2006
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|15897145|2006
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|21033138|2006
15-19|~|~|~|~|XII(b) Other unspecified malignant tumors|21807709|2006
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|19544688|2006
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|4041738|2006
1-4|218.1|232.9|225.4|3602|All ICCC Groups Combined|15977965|2007
10-14|127.6|137.5|132.5|2761|All ICCC Groups Combined|20841042|2007
15-19|214.7|227.2|220.9|4874|All ICCC Groups Combined|22067816|2007
5-9|119.2|129.1|124.1|2446|All ICCC Groups Combined|19714611|2007
<1|248.3|279.8|263.7|1094|All ICCC Groups Combined|4147997|2007
1-4|90.8|100.4|95.5|1526|I Leukemias, myeloproliferative & myelodysplastic diseases|15977965|2007
10-14|27.4|32.1|29.7|619|I Leukemias, myeloproliferative & myelodysplastic diseases|20841042|2007
15-19|30.8|35.7|33.2|732|I Leukemias, myeloproliferative & myelodysplastic diseases|22067816|2007
5-9|38.9|44.6|41.7|822|I Leukemias, myeloproliferative & myelodysplastic diseases|19714611|2007
<1|44.2|58.2|50.9|211|I Leukemias, myeloproliferative & myelodysplastic diseases|4147997|2007
1-4|76.5|85.3|80.8|1291|I(a) Lymphoid leukemias|15977965|2007
10-14|17.2|21.0|19.0|396|I(a) Lymphoid leukemias|20841042|2007
15-19|15.6|19.1|17.3|381|I(a) Lymphoid leukemias|22067816|2007
5-9|31.5|36.7|34.0|671|I(a) Lymphoid leukemias|19714611|2007
<1|14.9|23.5|18.8|78|I(a) Lymphoid leukemias|4147997|2007
1-4|8.0|11.1|9.5|151|I(b) Acute myeloid leukemias|15977965|2007
10-14|6.3|8.7|7.4|154|I(b) Acute myeloid leukemias|20841042|2007
15-19|7.6|10.1|8.8|194|I(b) Acute myeloid leukemias|22067816|2007
5-9|4.1|6.2|5.1|100|I(b) Acute myeloid leukemias|19714611|2007
<1|12.7|20.8|16.4|68|I(b) Acute myeloid leukemias|4147997|2007
1-4|0.7|1.9|1.2|19|I(c) Chronic myeloproliferative diseases|15977965|2007
10-14|1.3|2.6|1.9|39|I(c) Chronic myeloproliferative diseases|20841042|2007
15-19|4.1|6.0|4.9|109|I(c) Chronic myeloproliferative diseases|22067816|2007
5-9|0.6|1.6|1.0|20|I(c) Chronic myeloproliferative diseases|19714611|2007
<1|3.5|8.3|5.5|23|I(c) Chronic myeloproliferative diseases|4147997|2007
1-4|1.7|3.3|2.4|39|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|15977965|2007
10-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20841042|2007
15-19|0.8|1.7|1.2|26|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|22067816|2007
5-9|0.5|1.3|0.8|16|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19714611|2007
<1|4.3|9.5|6.5|27|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|4147997|2007
1-4|1.1|2.4|1.6|26|I(e) Unspecified and other specified leukemias|15977965|2007
10-14|0.5|1.3|0.8|17|I(e) Unspecified and other specified leukemias|20841042|2007
15-19|0.6|1.5|1.0|22|I(e) Unspecified and other specified leukemias|22067816|2007
5-9|~|~|~|~|I(e) Unspecified and other specified leukemias|19714611|2007
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|4147997|2007
1-4|7.3|10.3|8.7|139|II Lymphomas and reticuloendothelial neoplasms|15977965|2007
10-14|23.6|28.0|25.7|536|II Lymphomas and reticuloendothelial neoplasms|20841042|2007
15-19|46.9|52.8|49.8|1098|II Lymphomas and reticuloendothelial neoplasms|22067816|2007
5-9|13.2|16.6|14.8|292|II Lymphomas and reticuloendothelial neoplasms|19714611|2007
<1|7.7|14.2|10.6|44|II Lymphomas and reticuloendothelial neoplasms|4147997|2007
1-4|~|~|~|~|II(a) Hodgkin lymphomas|15977965|2007
10-14|10.5|13.5|11.9|249|II(a) Hodgkin lymphomas|20841042|2007
15-19|29.6|34.3|31.9|704|II(a) Hodgkin lymphomas|22067816|2007
5-9|2.7|4.4|3.5|69|II(a) Hodgkin lymphomas|19714611|2007
<1|~|~|~|~|II(a) Hodgkin lymphomas|4147997|2007
1-4|3.1|5.2|4.1|65|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|15977965|2007
10-14|8.7|11.4|10.0|208|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20841042|2007
15-19|12.4|15.6|13.9|307|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|22067816|2007
5-9|5.9|8.3|7.0|138|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|19714611|2007
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|4147997|2007
1-4|1.2|2.6|1.8|29|II(c) Burkitt lymphoma|15977965|2007
10-14|2.4|4.0|3.2|66|II(c) Burkitt lymphoma|20841042|2007
15-19|1.9|3.2|2.5|55|II(c) Burkitt lymphoma|22067816|2007
5-9|2.5|4.2|3.3|65|II(c) Burkitt lymphoma|19714611|2007
<1|~|~|~|~|II(c) Burkitt lymphoma|4147997|2007
1-4|1.3|2.8|1.9|31|II(d) Miscellaneous lymphoreticular neoplasms|15977965|2007
10-14|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|20841042|2007
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|22067816|2007
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19714611|2007
<1|4.7|10.0|7.0|29|II(d) Miscellaneous lymphoreticular neoplasms|4147997|2007
1-4|~|~|~|~|II(e) Unspecified lymphomas|15977965|2007
10-14|~|~|~|~|II(e) Unspecified lymphomas|20841042|2007
15-19|0.6|1.5|1.0|22|II(e) Unspecified lymphomas|22067816|2007
5-9|~|~|~|~|II(e) Unspecified lymphomas|19714611|2007
<1|~|~|~|~|II(e) Unspecified lymphomas|4147997|2007
1-4|42.0|48.6|45.2|722|III CNS and misc intracranial and intraspinal neoplasms|15977965|2007
10-14|25.5|30.0|27.7|577|III CNS and misc intracranial and intraspinal neoplasms|20841042|2007
15-19|19.9|23.8|21.8|481|III CNS and misc intracranial and intraspinal neoplasms|22067816|2007
5-9|32.2|37.4|34.7|685|III CNS and misc intracranial and intraspinal neoplasms|19714611|2007
<1|31.9|44.0|37.6|156|III CNS and misc intracranial and intraspinal neoplasms|4147997|2007
1-4|4.1|6.4|5.1|82|III(a) Ependymomas and choroid plexus tumor|15977965|2007
10-14|1.2|2.4|1.7|36|III(a) Ependymomas and choroid plexus tumor|20841042|2007
15-19|1.0|2.0|1.4|31|III(a) Ependymomas and choroid plexus tumor|22067816|2007
5-9|1.5|2.8|2.1|41|III(a) Ependymomas and choroid plexus tumor|19714611|2007
<1|2.6|6.9|4.3|18|III(a) Ependymomas and choroid plexus tumor|4147997|2007
1-4|17.2|21.6|19.3|309|III(b) Astrocytomas|15977965|2007
10-14|13.9|17.3|15.5|323|III(b) Astrocytomas|20841042|2007
15-19|12.0|15.1|13.5|298|III(b) Astrocytomas|22067816|2007
5-9|14.6|18.2|16.3|322|III(b) Astrocytomas|19714611|2007
<1|12.1|20.0|15.7|65|III(b) Astrocytomas|4147997|2007
1-4|10.2|13.6|11.8|189|III(c) Intracranial and intraspinal embryonal tumors|15977965|2007
10-14|3.6|5.4|4.4|92|III(c) Intracranial and intraspinal embryonal tumors|20841042|2007
15-19|2.1|3.6|2.8|61|III(c) Intracranial and intraspinal embryonal tumors|22067816|2007
5-9|6.4|8.9|7.6|149|III(c) Intracranial and intraspinal embryonal tumors|19714611|2007
<1|7.1|13.4|9.9|41|III(c) Intracranial and intraspinal embryonal tumors|4147997|2007
1-4|6.1|8.8|7.4|118|III(d) Other gliomas|15977965|2007
10-14|4.0|6.0|4.9|103|III(d) Other gliomas|20841042|2007
15-19|2.6|4.2|3.3|73|III(d) Other gliomas|22067816|2007
5-9|6.7|9.2|7.9|155|III(d) Other gliomas|19714611|2007
<1|2.9|7.4|4.8|20|III(d) Other gliomas|4147997|2007
1-4|0.6|1.7|1.1|17|III(e) Other specified intracranial & intraspinal neoplasms|15977965|2007
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20841042|2007
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|22067816|2007
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19714611|2007
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|4147997|2007
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15977965|2007
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20841042|2007
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|22067816|2007
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19714611|2007
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|4147997|2007
1-4|20.6|25.4|22.9|366|IV Neuroblastoma and other peripheral nervous cell tumors|15977965|2007
10-14|1.0|2.1|1.5|31|IV Neuroblastoma and other peripheral nervous cell tumors|20841042|2007
15-19|0.5|1.3|0.8|18|IV Neuroblastoma and other peripheral nervous cell tumors|22067816|2007
5-9|2.9|4.7|3.8|74|IV Neuroblastoma and other peripheral nervous cell tumors|19714611|2007
<1|56.4|72.1|63.9|265|IV Neuroblastoma and other peripheral nervous cell tumors|4147997|2007
1-4|20.5|25.2|22.8|364|IV(a) Neuroblastoma and ganglioneuroblastoma|15977965|2007
10-14|0.7|1.7|1.2|24|IV(a) Neuroblastoma and ganglioneuroblastoma|20841042|2007
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|22067816|2007
5-9|2.9|4.6|3.7|72|IV(a) Neuroblastoma and ganglioneuroblastoma|19714611|2007
<1|56.2|71.8|63.6|264|IV(a) Neuroblastoma and ganglioneuroblastoma|4147997|2007
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|15977965|2007
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20841042|2007
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|22067816|2007
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19714611|2007
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|4147997|2007
1-4|9.6|13.0|11.2|179|IX Soft tissue and other extraosseous sarcomas|15977965|2007
10-14|10.1|13.1|11.5|240|IX Soft tissue and other extraosseous sarcomas|20841042|2007
15-19|15.4|18.9|17.1|378|IX Soft tissue and other extraosseous sarcomas|22067816|2007
5-9|7.7|10.3|8.9|176|IX Soft tissue and other extraosseous sarcomas|19714611|2007
<1|15.1|23.7|19.0|79|IX Soft tissue and other extraosseous sarcomas|4147997|2007
1-4|7.3|10.3|8.7|139|IX(a) Rhabdomyosarcomas|15977965|2007
10-14|2.7|4.4|3.5|73|IX(a) Rhabdomyosarcomas|20841042|2007
15-19|2.9|4.5|3.6|80|IX(a) Rhabdomyosarcomas|22067816|2007
5-9|4.2|6.3|5.2|102|IX(a) Rhabdomyosarcomas|19714611|2007
<1|5.5|11.2|8.0|33|IX(a) Rhabdomyosarcomas|4147997|2007
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|15977965|2007
10-14|1.1|2.2|1.5|32|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20841042|2007
15-19|1.5|2.7|2.0|45|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|22067816|2007
5-9|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19714611|2007
<1|3.7|8.6|5.8|24|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|4147997|2007
1-4|~|~|~|~|IX(c) Kaposi sarcoma|15977965|2007
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20841042|2007
15-19|~|~|~|~|IX(c) Kaposi sarcoma|22067816|2007
5-9|~|~|~|~|IX(c) Kaposi sarcoma|19714611|2007
<1|~|~|~|~|IX(c) Kaposi sarcoma|4147997|2007
1-4|1.1|2.5|1.7|27|IX(d) Other specified soft tissue sarcomas|15977965|2007
10-14|4.5|6.6|5.5|114|IX(d) Other specified soft tissue sarcomas|20841042|2007
15-19|7.9|10.5|9.2|202|IX(d) Other specified soft tissue sarcomas|22067816|2007
5-9|1.6|3.0|2.2|44|IX(d) Other specified soft tissue sarcomas|19714611|2007
<1|2.4|6.6|4.1|17|IX(d) Other specified soft tissue sarcomas|4147997|2007
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|15977965|2007
10-14|0.6|1.5|1.0|21|IX(e) Unspecified soft tissue sarcomas|20841042|2007
15-19|1.6|2.9|2.2|48|IX(e) Unspecified soft tissue sarcomas|22067816|2007
5-9|0.5|1.4|0.9|17|IX(e) Unspecified soft tissue sarcomas|19714611|2007
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|4147997|2007
1-4|~|~|~|~|Not classified by ICCC|15977965|2007
10-14|~|~|~|~|Not classified by ICCC|20841042|2007
15-19|~|~|~|~|Not classified by ICCC|22067816|2007
5-9|~|~|~|~|Not classified by ICCC|19714611|2007
<1|~|~|~|~|Not classified by ICCC|4147997|2007
1-4|7.8|10.8|9.2|147|V Retinoblastoma|15977965|2007
10-14|~|~|~|~|V Retinoblastoma|20841042|2007
15-19|~|~|~|~|V Retinoblastoma|22067816|2007
5-9|~|~|~|~|V Retinoblastoma|19714611|2007
<1|23.3|33.8|28.2|117|V Retinoblastoma|4147997|2007
1-4|17.2|21.6|19.3|309|VI Renal tumors|15977965|2007
10-14|0.9|2.0|1.4|29|VI Renal tumors|20841042|2007
15-19|1.3|2.5|1.8|40|VI Renal tumors|22067816|2007
5-9|5.1|7.4|6.2|122|VI Renal tumors|19714611|2007
<1|13.2|21.3|16.9|70|VI Renal tumors|4147997|2007
1-4|17.2|21.6|19.3|308|VI(a) Nephroblastoma and other nonepithelial renal tumors|15977965|2007
10-14|0.4|1.2|0.8|16|VI(a) Nephroblastoma and other nonepithelial renal tumors|20841042|2007
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|22067816|2007
5-9|4.6|6.7|5.6|110|VI(a) Nephroblastoma and other nonepithelial renal tumors|19714611|2007
<1|12.9|21.1|16.6|69|VI(a) Nephroblastoma and other nonepithelial renal tumors|4147997|2007
1-4|~|~|~|~|VI(b) Renal carcinomas|15977965|2007
10-14|~|~|~|~|VI(b) Renal carcinomas|20841042|2007
15-19|0.8|1.8|1.3|28|VI(b) Renal carcinomas|22067816|2007
5-9|~|~|~|~|VI(b) Renal carcinomas|19714611|2007
<1|~|~|~|~|VI(b) Renal carcinomas|4147997|2007
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|15977965|2007
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20841042|2007
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|22067816|2007
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|19714611|2007
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|4147997|2007
1-4|4.2|6.6|5.3|85|VII Hepatic tumors|15977965|2007
10-14|~|~|~|~|VII Hepatic tumors|20841042|2007
15-19|1.1|2.2|1.6|35|VII Hepatic tumors|22067816|2007
5-9|0.5|1.4|0.9|17|VII Hepatic tumors|19714611|2007
<1|8.1|14.8|11.1|46|VII Hepatic tumors|4147997|2007
1-4|4.0|6.3|5.1|81|VII(a) Hepatoblastoma|15977965|2007
10-14|~|~|~|~|VII(a) Hepatoblastoma|20841042|2007
15-19|~|~|~|~|VII(a) Hepatoblastoma|22067816|2007
5-9|~|~|~|~|VII(a) Hepatoblastoma|19714611|2007
<1|7.9|14.5|10.8|45|VII(a) Hepatoblastoma|4147997|2007
1-4|~|~|~|~|VII(b) Hepatic carcinomas|15977965|2007
10-14|~|~|~|~|VII(b) Hepatic carcinomas|20841042|2007
15-19|1.1|2.2|1.5|34|VII(b) Hepatic carcinomas|22067816|2007
5-9|~|~|~|~|VII(b) Hepatic carcinomas|19714611|2007
<1|~|~|~|~|VII(b) Hepatic carcinomas|4147997|2007
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|15977965|2007
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20841042|2007
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|22067816|2007
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19714611|2007
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|4147997|2007
1-4|1.2|2.6|1.8|29|VIII Malignant bone tumors|15977965|2007
10-14|11.5|14.6|13.0|270|VIII Malignant bone tumors|20841042|2007
15-19|13.0|16.3|14.6|322|VIII Malignant bone tumors|22067816|2007
5-9|4.7|6.8|5.7|112|VIII Malignant bone tumors|19714611|2007
<1|~|~|~|~|VIII Malignant bone tumors|4147997|2007
1-4|~|~|~|~|VIII(a) Osteosarcomas|15977965|2007
10-14|6.3|8.7|7.4|155|VIII(a) Osteosarcomas|20841042|2007
15-19|6.6|9.0|7.7|171|VIII(a) Osteosarcomas|22067816|2007
5-9|2.3|3.9|3.0|60|VIII(a) Osteosarcomas|19714611|2007
<1|~|~|~|~|VIII(a) Osteosarcomas|4147997|2007
1-4|~|~|~|~|VIII(b) Chondrosarcomas|15977965|2007
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20841042|2007
15-19|0.7|1.6|1.0|23|VIII(b) Chondrosarcomas|22067816|2007
5-9|~|~|~|~|VIII(b) Chondrosarcomas|19714611|2007
<1|~|~|~|~|VIII(b) Chondrosarcomas|4147997|2007
1-4|0.6|1.7|1.1|17|VIII(c) Ewing tumor and related sarcomas of bone|15977965|2007
10-14|3.5|5.4|4.4|91|VIII(c) Ewing tumor and related sarcomas of bone|20841042|2007
15-19|3.9|5.8|4.8|106|VIII(c) Ewing tumor and related sarcomas of bone|22067816|2007
5-9|1.5|2.8|2.1|41|VIII(c) Ewing tumor and related sarcomas of bone|19714611|2007
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|4147997|2007
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|15977965|2007
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|20841042|2007
15-19|~|~|~|~|VIII(d) Other specified malignant bone tumors|22067816|2007
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|19714611|2007
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|4147997|2007
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|15977965|2007
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20841042|2007
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|22067816|2007
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19714611|2007
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|4147997|2007
1-4|2.4|4.3|3.3|52|X Germ cell, trophoblastic tumors & neoplasms of gonads|15977965|2007
10-14|6.4|8.8|7.5|156|X Germ cell, trophoblastic tumors & neoplasms of gonads|20841042|2007
15-19|25.8|30.3|28.0|618|X Germ cell, trophoblastic tumors & neoplasms of gonads|22067816|2007
5-9|2.0|3.5|2.6|52|X Germ cell, trophoblastic tumors & neoplasms of gonads|19714611|2007
<1|14.6|23.2|18.6|77|X Germ cell, trophoblastic tumors & neoplasms of gonads|4147997|2007
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|15977965|2007
10-14|2.0|3.5|2.7|56|X(a) Intracranial & intraspinal germ cell tumors|20841042|2007
15-19|1.6|2.9|2.2|49|X(a) Intracranial & intraspinal germ cell tumors|22067816|2007
5-9|0.5|1.4|0.9|18|X(a) Intracranial & intraspinal germ cell tumors|19714611|2007
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|4147997|2007
1-4|0.9|2.1|1.4|22|X(b) Malignant extracranial & extragonadal germ cell tumors|15977965|2007
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20841042|2007
15-19|1.1|2.3|1.6|36|X(b) Malignant extracranial & extragonadal germ cell tumors|22067816|2007
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19714611|2007
<1|8.5|15.3|11.6|48|X(b) Malignant extracranial & extragonadal germ cell tumors|4147997|2007
1-4|1.1|2.4|1.6|26|X(c) Malignant gonadal germ cell tumors|15977965|2007
10-14|3.2|4.9|4.0|83|X(c) Malignant gonadal germ cell tumors|20841042|2007
15-19|20.2|24.2|22.1|488|X(c) Malignant gonadal germ cell tumors|22067816|2007
5-9|0.9|2.0|1.4|27|X(c) Malignant gonadal germ cell tumors|19714611|2007
<1|3.1|7.7|5.1|21|X(c) Malignant gonadal germ cell tumors|4147997|2007
1-4|~|~|~|~|X(d) Gonadal carcinomas|15977965|2007
10-14|~|~|~|~|X(d) Gonadal carcinomas|20841042|2007
15-19|0.8|1.7|1.2|26|X(d) Gonadal carcinomas|22067816|2007
5-9|~|~|~|~|X(d) Gonadal carcinomas|19714611|2007
<1|~|~|~|~|X(d) Gonadal carcinomas|4147997|2007
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|15977965|2007
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20841042|2007
15-19|0.5|1.3|0.9|19|X(e) Other and unspecified malignant gonadal tumors|22067816|2007
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19714611|2007
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|4147997|2007
1-4|1.2|2.5|1.8|28|XI Other malignant epithelial neoplasms and malignant melanomas|15977965|2007
10-14|12.1|15.4|13.7|285|XI Other malignant epithelial neoplasms and malignant melanomas|20841042|2007
15-19|47.7|53.7|50.6|1117|XI Other malignant epithelial neoplasms and malignant melanomas|22067816|2007
5-9|2.9|4.7|3.8|74|XI Other malignant epithelial neoplasms and malignant melanomas|19714611|2007
<1|~|~|~|~|XI Other malignant epithelial neoplasms and malignant melanomas|4147997|2007
